plot #,plot index,a1,a2,a3,a4,b1,b2,b3,b4,c1,c2,c3,c4,d1,d2,d3,d4,plot average,a-average,b-average,c-average,d-average
1009,1,90,88,87,88,91,91,92,90,91,81,94,86,91,91,90,82,88.9375,88.25,91,88,88.5
1013,2,91,85,90,83,93,89,87,90,88,94,87,92,86,90,90,92,89.1875,87.25,89.75,90.25,89.5
1017,3,88,82,84,83,81,85,86,65,67,73,58,64,54,75,79,57,73.8125,84.25,79.25,65.5,66.25
1025,4,96,93,86,81,92,82,85,79,88,94,96,94,86,96,89,88,89.0625,89,84.5,93,89.75
1033,5,86,79,87,80,80,74,88,64,84,73,66,87,91,83,80,93,80.9375,83,76.5,77.5,86.75
1034,6,89,92,89,91,85,88,94,77,,,,,,,,,88.125,90.25,86,NA,NA
1035,7,95,90,90,84,94,93,88,87,87,82,71,91,94,82,83,88,87.4375,89.75,90.5,82.75,86.75
1038,8,89,86,84,87,65,92,68,82,60,44,74,70,88,78,91,80,77.375,86.5,76.75,62,84.25
1039,9,92,91,89,94,85,96,92,93,92,53,65,73,96,86,92,91,86.25,91.5,91.5,70.75,91.25
1044,10,93,86,77,94,92,85,90,73,81,90,89,85,78,71,76,88,84.25,87.5,85,86.25,78.25
1045,11,89,84,81,94,96,88,85,82,90,76,88,89,84,92,79,71,85.5,87,87.75,85.75,81.5
1051,12,89,92,86,88,93,92,90,91,96,92,93,94,86,88,83,85,89.875,88.75,91.5,93.75,85.5
1054,13,91,92,87,94,91,76,89,94,88,89,94,88,92,81,91,87,89,91,87.5,89.75,87.75
1061,14,90,80,78,90,90,96,90,92,84,85,84,92,89,94,94,92,88.75,84.5,92,86.25,92.25
1069,15,88,94,96,92,93,90,96,94,96,96,93,84,94,92,85,86,91.8125,92.5,93.25,92.25,89.25
1071,16,87,91,93,87,87,88,96,91,92,90,94,82,94,89,86,94,90.0625,89.5,90.5,89.5,90.75
1089,17,90,89,78,93,87,94,90,92,89,83,93,82,90,85,89,86,88.125,87.5,90.75,86.75,87.5
1090,18,95,93,91,90,89,94,88,88,95,96,84,92,91,89,91,78,90.25,92.25,89.75,91.75,87.25
1092,19,88,81,87,91,88,88,88,84,93,86,93,85,87,80,84,89,87,86.75,87,89.25,85
1094,20,92,87,92,93,89,94,87,94,91,84,92,89,94,88,87,86,89.9375,91,91,89,88.75
1097,21,95,88,96,80,87,86,93,81,85,86,92,90,96,83,85,93,88.5,89.75,86.75,88.25,89.25
1098,22,93,89,92,92,93,94,93,91,96,96,95,94,94,91,95,91,93.0625,91.5,92.75,95.25,92.75
1099,23,91,89,80,87,89,88,79,86,90,85,90,81,90,87,82,82,86,86.75,85.5,86.5,85.25
1136,24,90,92,89,93,87,93,94,89,91,89,92,91,90,90,94,84,90.5,91,90.75,90.75,89.5
1376,25,85,84,86,87,95,90,89,90,87,91,84,87,92,87,90,82,87.875,85.5,91,87.25,87.75
3370,26,87,95,94,92,93,89,88,93,96,95,96,96,95,96,96,93,93.375,92,90.75,95.75,95
3596,27,89,85,91,86,91,88,92,92,93,89,92,93,94,92,93,92,90.75,87.75,90.75,91.75,92.75
3668,28,91,88,89,83,90,92,93,57,96,92,94,91,86,92,92,77,87.6875,87.75,83,93.25,86.75
3732,29,89,91,77,81,90,95,86,87,90,91,92,84,90,88,69,89,86.8125,84.5,89.5,89.25,84
