plot #,plot index,mod,OM,P1,K,MG,CA,PH,CEC,PERK,PERMG,PERCA,C,N,C:N,PERH,BPH
1136-2,24,a,12.4,3,89,45,200,4.4,23.2,1,1.6,4.3,7.2,0.355,20.3,93.1,5.2
1136-3,24,b,12.5,2,79,50,200,4.2,24.4,0.8,1.7,4.1,7.3,0.327,22.3,93.4,5.1
1136-8,24,c,12,2,87,45,200,3.9,25.6,0.9,1.5,3.9,7,0.336,20.8,93.8,5
1136-9,24,d,11.4,1,57,30,250,3.9,25.6,0.6,1,4.9,6.6,0.311,21.2,93.6,5
1376-2,25,a,11.4,2,90,35,200,4.2,23.1,1,1.3,4.3,6.6,0.284,23.2,93.4,5.2
1376-3,25,b,9.6,3,72,50,100,4.2,22.7,0.8,1.8,2.2,5.6,0.319,17.8,95.1,5.2
1376-8,25,c,10.7,4,98,55,450,4.3,23.4,1.1,2,9.6,6.2,0.349,17.8,87.3,5.3
1376-9,25,d,11.1,2,77,45,200,4.2,22,0.9,1.7,4.6,6.4,0.312,20.5,92.8,5.3
3596-2,27,a,9.1,1,99,35,200,4.3,23.1,1.1,1.3,4.3,5.3,0.248,21.4,93.3,5.2
3596-3,27,b,9.2,2,70,35,300,4.4,21.2,0.8,1.4,7.1,5.3,0.263,20.2,90.7,5.4
3596-8,27,c,6,1,64,30,100,4.4,20.1,0.8,1.2,2.5,3.5,0.196,17.9,95.5,5.4
3596-9,27,d,11,3,82,40,200,4.1,23.1,0.9,1.4,4.3,6.4,0.311,20.6,93.3,5.2
3668-2,28,a,6.5,5,104,55,100,4.6,3.6,7.4,12.6,13.8,3.8,0.245,15.5,66.2,6.8
3668-3,28,b,7.6,4,134,130,550,5.2,7.8,4.4,13.9,35.4,4.4,0.283,15.5,46.3,6.7
3668-8,28,c,6.5,6,102,70,400,4.9,6.4,4.1,9.1,31,3.8,0.244,15.6,55.9,6.7
3668-9,28,d,8.4,11,113,80,350,4.8,6.3,4.6,10.6,27.7,4.9,0.245,20,57.1,6.7
3732-1,29,a,11.1,191,77,135,1050,4.8,13.8,1.4,8.2,38.1,6.4,0.393,16.3,52.3,6.4
3732-2,29,b,10.3,10,87,45,200,4.1,22,1,1.7,4.5,6,0.32,18.8,92.7,5.3
3732-3,29,c,9.7,4,87,40,100,4.2,22.7,1,1.5,2.2,5.6,0.277,20.2,95.3,5.2
3732-4,29,d,12.6,4,103,50,150,4.3,23,1.1,1.8,3.3,7.3,0.455,16,93.8,5.2
1009-2,1,a,5.2,8,108,300,1700,7.2,11.3,2.5,22.2,75.4,3,0.253,11.9,,7.2
1009-3,1,b,4.1,8,78,200,1650,7.2,10.1,2,16.5,81.5,2.4,0.204,11.8,,7.2
1009-8,1,c,3.9,15,93,170,1400,6.7,9.9,2.4,14.4,71,2.3,0.205,11.2,12.2,6.9
1009-9,1,d,4.8,11,144,185,1650,7,10.2,3.6,15.2,81.2,2.8,0.132,21.2,,7.2
1034-1,6,a,3.4,4,68,145,2000,7.2,11.4,1.5,10.6,87.9,2,0.123,16.3,,7.2
1034-2,6,b,2.6,3,58,100,2000,6.9,11.1,1.3,7.5,89.7,1.5,0.134,11.2,1.5,7.2
1069-1,15,a,4.7,6,60,175,1300,6.3,9.3,1.7,15.7,69.8,2.7,0.186,14.5,12.9,6.9
1069-2,15,b,3,7,47,150,1000,6.7,7.6,1.6,16.5,66,1.7,0.125,13.6,15.9,6.9
1069-3,15,c,4.7,5,63,185,1250,6.3,9.2,1.8,16.8,68.3,2.7,0.196,13.8,13.1,6.9
1069-4,15,d,4.5,5,59,175,1050,6,9.3,1.6,15.7,56.7,2.6,0.203,12.8,25.9,6.8
1098-2,22,a,1.7,1,41,120,1200,7.2,7.1,1.5,14.1,84.4,1,0.078,12.8,,7.2
1098-3,22,b,2.1,2,54,85,1600,7.4,8.8,1.6,8,90.4,1.2,0.085,14.1,,7.2
1098-8,22,c,2.9,2,41,90,1500,7.6,8.4,1.3,9,89.8,1.7,0.086,19.8,,7.2
1098-9,22,d,3.5,2,53,200,1150,6.7,8.8,1.6,19,65.7,2,0.159,12.6,13.7,6.9
3370-1,26,a,6.8,3,90,225,1700,6.6,11.8,2,15.9,72,3.9,0.304,12.8,10.2,6.9
3370-2,26,b,5.2,2,68,195,1200,6.1,10.2,1.7,15.9,58.8,3,0.207,14.5,23.5,6.8
3370-3,26,c,9.8,8,97,275,2050,6.3,15.2,1.6,15.1,67.5,5.7,0.433,13.2,15.8,6.8
3370-4,26,d,7.6,5,59,150,1250,5.6,11.3,1.3,11.1,55.5,4.4,0.283,15.5,32,6.7
1025-3,4,b,7.7,4,86,110,550,5.2,7.5,2.9,12.2,36.7,4.5,0.272,16.5,48.1,6.7
