"","spalpha.rich","spalpha.evens"
"1",9,0.257252094177128
"2",6,0.350092231317845
"3",4,0.455862079608235
"4",8,0.245215208526096
"5",4,1
"6",4,0.292671100027708
"7",4,0.301495016611296
"8",3,1
"9",5,0.284641434050145
"10",8,0.969827586206897
"11",6,1
"12",5,0.248491558261832
"13",4,0.260065324623384
"14",8,0.969827586206897
"15",7,0.329400819493656
"16",5,0.210771418414504
"17",19,0.235145189502964
"18",18,0.231879088596289
"19",18,0.295934027015925
"20",22,0.193793586829705
"21",27,0.100439733253737
"22",25,0.204173311992748
"23",3,0.336193168096924
"24",6,0.171455586846795
"25",5,0.237739763214833
"26",7,0.153489582589459
"27",3,1
"28",3,0.925925925925926
"29",6,0.96031746031746
"30",4,0.301495016611296
"31",18,0.184970027354088
"32",9,0.505439758711693
"33",9,0.304243358230905
"34",12,0.309114043968087
"35",1,1
"36",1,1
"37",1,1
"38",1,1
"39",12,0.127165345921353
"40",11,0.267501416839482
"41",9,0.255259764348425
"42",10,0.150991114149009
"43",4,1
"44",5,0.952941176470588
"45",4,1
"46",3,1
"47",16,0.185271150321148
"48",18,0.120729078119033
"49",19,0.194078645480292
"50",14,0.285654720584519
"51",5,0.209411973826003
"52",2,1
"53",1,1
"54",3,1
"55",14,0.107931094241487
"56",11,0.26181780467639
"57",19,0.250858032015306
"58",18,0.294046505105962
"59",16,0.26156240830606
"60",17,0.233658085815427
"61",17,0.235867475791467
"62",15,0.352998337903174
"63",7,0.334388603086664
"64",15,0.312139262132336
"65",10,0.255752212389381
"66",12,0.450116524248141
"67",6,0.30380976708967
"68",6,0.305162263416533
"69",8,0.239659144739675
"70",4,0.268052934876842
"71",6,0.323911214528905
"72",4,0.262812123817163
"73",6,0.376927063091074
"74",6,0.364160529422848
"75",4,0.942307692307692
"76",3,0.925925925925926
"77",4,1
"78",5,0.914285714285714
"79",7,0.499220232614945
"80",5,0.202137584799397
"81",5,0.44026622296173
"82",6,0.586163305177268
"83",17,0.175302392367787
"84",18,0.165609049524072
"85",11,0.977827050997783
"86",12,0.270495866832107
"87",1,1
"88",4,0.9
"89",3,0.925925925925926
"90",6,0.366990291262136
"91",0,NA
"92",0,NA
"93",0,NA
"94",0,NA
"95",4,0.301495016611296
"96",5,1
"97",6,0.175646751246102
"98",5,0.255752212389381
"99",21,0.236380334780033
"100",22,0.207701305480454
"101",24,0.230375213341091
"102",27,0.136519105645166
"103",1,1
"104",2,0.503333296296708
"105",5,0.234266703631827
"106",3,0.925925925925926
"107",3,0.337148237035586
"108",9,0.20890445668787
"109",4,0.260065324623384
"110",3,0.925925925925926
"111",2,1
"112",2,1
"113",0,NA
"114",2,1
