"","x"
"1","Actaea alba"
"2","ALLIARIA PETIOLATA"
"3","Allium canadense"
"4","Allium tricoccum"
"5","Anemone quinquefolia"
"6","Anemonella thalictroides"
"7","Arisaema dracontium"
"8","Arisaema triphyllum"
"9","Asarum canadense"
"10","BARBAREA VERNA"
"11","Camassia scilloides"
"12","Cardamine concatenata"
"13","Cardamine diphylla"
"14","Cardamine douglassii"
"15","Cardamine rhomboidea"
"16","Caulophyllum thalictroides"
"17","Claytonia virginica"
"18","Conopholis americana"
"19","Dicentra canadensis"
"20","Dicentra cucullaria"
"21","DUCHESNEA INDICA"
"22","Erigenia bulbosa"
"23","Erythronium americanum"
"24","Floerkea proserpinacoides"
"25","Fragaria virginiana"
"26","Galium aparine"
"27","Geranium maculatum"
"28","Geum vernum"
"29","GLECHOMA HEDERACEA"
"30","Hedyotis caerulea"
"31","Hepatica acutiloba"
"32","HESPERIS MATRONALIS"
"33","Hydrophyllum virginianum"
"34","Isopyrum biternatum"
"35","Lilium sp."
"36","Luzula multiflora"
"37","Maianthemum canadense"
"38","Maianthemum racemosum"
"39","Mertensia virginica"
"40","Mitchella repens"
"41","Mitella diphylla"
"42","Osmorhiza claytonii"
"43","Osmorhiza longistylis"
"44","Oxalis stricta"
"45","Panax trifolius"
"46","Phlox divaricata"
"47","Podophyllum peltatum"
"48","Polemonium reptans"
"49","Polygonatum biflorum"
"50","Polygonatum pubescens"
"51","Potentilla simplex"
"52","Prenanthes sp."
"53","Prosartes lanuginosa"
"54","Ranunculus abortivus"
"55","Ranunculus fascicularis"
"56","RANUNCULUS FICARIA"
"57","Ranunculus hispidus"
"58","Ranunculus recurvatus"
"59","RANUNCULUS REPENS"
"60","Ranunculus sp."
"61","Sanguinaria canadensis"
"62","Senecio aureus"
"63","Senecio obovatus"
"64","Symplocarpus foetidus"
"65","TARAXACUM OFFICINALE"
"66","Tiarella cordifolia"
"67","Trillium erectum"
"68","Trillium grandiflorum"
"69","Trillium sessile"
"70","Trillium sp."
"71","Tussilago farfara"
"72","Unknown forb"
"73","Uvularia sessilifolia"
"74","VERONICA OFFICINALIS"
"75","Viola blanda"
"76","Viola canadensis"
"77","Viola pubescens"
"78","Viola rostrata"
"79","Viola sororia"
"80","Viola sp."
"81","Viola striata"
"82","Zizia aptera"
"83","Zizia aurea"
