"","summalpha.rich","summalpha.evens"
"1",15,0.307761985303966
"2",12,0.354691576682093
"3",13,0.26150149563689
"4",20,0.193982178353939
"5",6,0.925925925925926
"6",7,0.935064935064935
"7",6,0.191131498470948
"8",7,0.935064935064935
"9",14,0.0989690496790094
"10",18,0.936647173489279
"11",11,0.937662337662338
"12",12,0.942307692307693
"13",4,0.301495016611296
"14",9,0.948148148148148
"15",11,0.977827050997783
"16",5,0.241329639889197
"17",13,0.0790906290957623
"18",16,0.0887009566943158
"19",14,0.921602787456446
"20",18,0.916122004357299
"21",51,0.0633529104691923
"22",39,0.0617179854329906
"23",3,0.378418329637842
"24",6,0.188620414266538
"25",8,0.18867144432194
"26",5,0.223327895595432
"27",0,NA
"28",4,0.942307692307692
"29",1,1
"30",1,1
"31",30,0.0817566220906207
"32",27,0.154315564809218
"33",24,0.106197232904566
"34",26,0.066637486036859
"35",1,1
"36",1,1
"37",1,1
"38",1,1
"39",22,0.905956112852665
"40",15,0.925925925925926
"41",15,0.896296296296296
"42",17,0.912390488110138
"43",1,1
"44",2,1
"45",1,1
"46",1,1
"47",16,0.133199041988278
"48",12,0.149432864620046
"49",12,0.174678602738506
"50",14,0.128239725324867
"51",8,0.174115777839182
"52",4,0.9
"53",1,1
"54",5,0.9
"55",25,0.228017887363841
"56",30,0.16878305423289
"57",23,0.229490877436358
"58",24,0.339840820337756
"59",16,0.237532278889606
"60",14,0.263622703187199
"61",10,0.125548820862833
"62",12,0.0886457814672424
"63",8,0.174115777839182
"64",15,0.896296296296296
"65",8,0.969827586206897
"66",11,0.229253934110721
"67",8,0.174115777839182
"68",6,0.96031746031746
"69",12,0.139592511013216
"70",9,0.167800453514739
"71",3,1
"72",3,1
"73",5,0.914285714285714
"74",3,1
"75",11,0.166187690433949
"76",15,0.967901234567901
"77",14,0.111888362585143
"78",11,0.217530175958787
"79",4,0.9
"80",2,1
"81",1,1
"82",7,0.965714285714286
"83",29,0.0666479071012257
"84",30,0.0731034971796938
"85",20,0.160289504488468
"86",20,0.0907695790461134
"87",3,0.925925925925926
"88",2,1
"89",3,0.888888888888889
"90",5,0.952941176470588
"91",0,NA
"92",0,NA
"93",1,1
"94",0,NA
"95",3,0.925925925925926
"96",4,0.9
"97",3,0.888888888888889
"98",3,0.888888888888889
"99",17,0.22732744511923
"100",15,0.193360003678668
"101",17,0.130254398096034
"102",17,0.133055899223934
"103",0,NA
"104",2,0.516662038322688
"105",3,0.888888888888889
"106",1,1
"107",5,0.952941176470588
"108",11,0.956937799043062
"109",5,0.234266703631827
"110",2,1
"111",0,NA
"112",1,1
"113",2,1
"114",5,1
