"","summgamma.rich","summmean.rich","summbeta.rich","summvar.rich","summgamma.evens","summmean.evens","summbeta.evens","summvar.evens"
"1",23,15,0.652173913043478,23.7268405600696,0.187113617735466,0.279484308994222,1.49366097655888,24.5207459895544
"2",12,6.5,0.541666666666667,8.88231183368655,0.131175996528424,0.746796823631686,5.69309053024704,49.6076829779704
"3",24,13.75,0.572916666666667,22.5141522678869,0.106658087446763,0.72889656328458,6.83395493706372,57.6157066276951
"4",19,7.25,0.381578947368421,45.5729370151701,0.0967254698099086,0.617199963911606,6.38094563018995,64.8443658572876
"5",29,15.25,0.525862068965517,14.5400379187432,0.03862035085331,0.501379094400956,12.9822511531633,96.1526629873121
"6",59,45,0.76271186440678,18.8561808316413,0.0508859398402351,0.0625354479510914,1.22893373193915,1.84865802949713
"7",12,5.5,0.458333333333333,37.848472717566,0.0984580755134025,0.244759520955438,2.48592631614174,37.0132063691636
"8",4,1.5,0.375,115.470053837925,0.672222222222222,0.980769230769231,1.45899554990464,3.39617805405662
"9",39,26.75,0.685897435897436,9.34579439252336,0.059153455322621,0.102226726460316,1.72816154023082,37.5251237675943
"10",1,1,1,0,1,1,1,0
"11",32,17.25,0.5390625,19.1538430933324,0.706395348837209,0.910142205796256,1.288431764584,1.36557107267979
"12",2,1.25,0.625,40,0.735294117647059,1,1.36,0
"13",21,13.5,0.642857142857143,14.1841053000939,0.0960962763871633,0.146387558667924,1.52334267436276,14.2908248183044
"14",13,4.5,0.346153846153846,64.1500299099584,0.137873785851955,0.743528944459795,5.39282315246044,51.4471659069552
"15",38,25.5,0.671052631578947,12.1926523569788,0.230727917151346,0.241533159842711,1.04683110229907,29.5522398778632
"16",19,13,0.684210526315789,19.8614530574739,0.103511022456053,0.17883739610172,1.72771355029024,47.4555142498253
"17",22,10.5,0.477272727272727,31.5869027652895,0.139525157485338,0.567373398613274,4.06645947468574,74.7170227785653
"18",18,8.75,0.486111111111111,28.5714285714286,0.152710843373494,0.360456550671149,2.36038609117991,111.022764229181
"19",7,3.5,0.5,28.5714285714286,0.661448140900196,0.978571428571429,1.47943786982249,4.37956204379562
"20",25,12.75,0.51,16.1690416690889,0.113031764203332,0.365876865886445,3.23693847004168,110.326940395156
"21",10,3.5,0.35,75.5928946018455,0.880281690140845,0.966428571428571,1.09786285714286,4.87804878048781
"22",46,24.75,0.53804347826087,22.2222222222222,0.0491826902603738,0.0977026219538753,1.98652455643716,43.9622677608615
"23",7,3.25,0.464285714285714,38.7170996680551,0.677871148459384,0.941938997821351,1.38955463728191,4.96550220778948
"24",1,0.25,0.25,200,1,1,1,NA
"25",6,3.25,0.541666666666667,15.3846153846154,0.633333333333333,0.900925925925926,1.42251461988304,1.9391533673292
"26",25,16.5,0.66,6.06060606060606,0.166610268866739,0.170999436529467,1.02634392041128,27.7859931003688
"27",5,1.5,0.3,86.066296582387,0.226403326403326,0.801850309070526,3.54168961122978,31.5709175881087
"28",11,5.75,0.522727272727273,65.6507342197457,0.193847892782173,0.786036419786369,4.05491340919366,46.8760587463681
"29",7,2,0.285714285714286,108.012344973464,0.914285714285714,1,1.09375,1.35973995551052e-14
